Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
India,IND,Female,FEM,Wallis and Futuna,WLF,0,0,0,0,2
India,IND,Female,FEM,West Bank and Gaza,PSE,78,92,109,144,223
India,IND,Female,FEM,"Yemen, Rep.",YEM,1829,2265,2804,3471,4058
India,IND,Female,FEM,Zambia,ZMB,4140,3335,3246,2626,2400
India,IND,Female,FEM,Zimbabwe,ZWE,923,1712,1615,1523,1401
India,IND,Male,MAL,Afghanistan,AFG,12437,14664,2767,1119,2459
India,IND,Male,MAL,Albania,ALB,0,0,0,0,1
India,IND,Male,MAL,Algeria,DZA,5,2,2,1,1
India,IND,Male,MAL,American Samoa,ASM,0,3,6,4,5
India,IND,Male,MAL,Andorra,AND,3,16,6,11,14
India,IND,Male,MAL,Angola,AGO,489,193,76,80,120
India,IND,Male,MAL,Anguilla,AIA,0,0,0,2,3
India,IND,Male,MAL,Antigua and Barbuda,ATG,4,6,13,22,27
India,IND,Male,MAL,Argentina,ARG,134,171,218,96,197
India,IND,Male,MAL,Armenia,ARM,0,0,0,0,0
India,IND,Male,MAL,Aruba,ABW,14,14,13,60,116
India,IND,Male,MAL,Australia,AUS,8877,9383,20590,29750,49794
India,IND,Male,MAL,Austria,AUT,98,438,1399,2464,4220
India,IND,Male,MAL,Azerbaijan,AZE,0,0,0,0,0
India,IND,Male,MAL,"Bahamas, The",BHS,1,37,76,94,104
India,IND,Male,MAL,Bahrain,BHR,2975,4000,12209,22090,32927
India,IND,Male,MAL,Bangladesh,BGD,342256,377924,553388,735935,806361
India,IND,Male,MAL,Barbados,BRB,11,117,240,236,264
India,IND,Male,MAL,Belarus,BLR,0,0,0,0,0
India,IND,Male,MAL,Belgium,BEL,88,349,812,1708,2054
India,IND,Male,MAL,Belize,BLZ,45,61,72,0,168
India,IND,Male,MAL,Benin,BEN,21,27,35,46,81
India,IND,Male,MAL,Bermuda,BMU,0,4,31,0,57
India,IND,Male,MAL,Bhutan,BTN,7420,10018,13523,18257,24644
India,IND,Male,MAL,Bolivia,BOL,0,2,3,62,64
India,IND,Male,MAL,Bosnia and Herzegovina,BIH,6,6,10,59,47
India,IND,Male,MAL,Botswana,BWA,6,5,59,1054,2253
India,IND,Male,MAL,Brazil,BRA,156,221,607,417,444
India,IND,Male,MAL,Brunei Darussalam,BRN,375,857,1080,2196,3093
India,IND,Male,MAL,Bulgaria,BGR,88,92,94,93,433
India,IND,Male,MAL,Burkina Faso,BFA,0,0,2,78,29
India,IND,Male,MAL,Burundi,BDI,106,83,65,27,21
India,IND,Male,MAL,Cambodia,KHM,389,326,4,38,235
India,IND,Male,MAL,Cameroon,CMR,176,197,156,0,0
India,IND,Male,MAL,Canada,CAN,5002,23560,42824,85061,168496
India,IND,Male,MAL,Cape Verde,CPV,2,2,3,0,0
India,IND,Male,MAL,Cayman Islands,CYM,0,0,3,31,24
India,IND,Male,MAL,Central African Republic,CAF,8,4,10,11,3
India,IND,Male,MAL,Chad,TCD,530,570,627,690,780
India,IND,Male,MAL,Channel Islands,CHI,..,..,..,..,..
India,IND,Male,MAL,Chile,CHL,59,39,121,163,357
India,IND,Male,MAL,China,CHN,22,492,74,171,1884
India,IND,Male,MAL,Colombia,COL,23,31,36,44,53
India,IND,Male,MAL,Comoros,COM,2,4,14,43,42
India,IND,Male,MAL,"Congo, Dem. Rep.",COD,105,32958,20803,14227,11561
India,IND,Male,MAL,"Congo, Rep.",COG,65,110,374,624,116
India,IND,Male,MAL,Cook Islands,COK,0,0,2,5,7
India,IND,Male,MAL,Costa Rica,CRI,19,7,7,14,25
India,IND,Male,MAL,Cote d'Ivoire,CIV,76,117,147,231,23
India,IND,Male,MAL,Croatia,HRV,0,0,1,18,2
India,IND,Male,MAL,Cuba,CUB,669,615,300,135,28
India,IND,Male,MAL,Cyprus,CYP,4,14,23,33,727
India,IND,Male,MAL,Czech Republic,CZE,2,3,3,22,158
India,IND,Male,MAL,Denmark,DNK,239,335,997,1276,1844
India,IND,Male,MAL,Djibouti,DJI,24,43,85,130,167
India,IND,Male,MAL,Dominica,DMA,4,2,0,6,9
India,IND,Male,MAL,Dominican Republic,DOM,161,160,166,176,190
India,IND,Male,MAL,Ecuador,ECU,2,3,5,5,53
India,IND,Male,MAL,"Egypt, Arab Rep.",EGY,214,346,486,32,496
India,IND,Male,MAL,El Salvador,SLV,2,2,9,14,2
India,IND,Male,MAL,Equatorial Guinea,GNQ,6,10,54,26,42
India,IND,Male,MAL,Eritrea,ERI,28,221,254,66,72
India,IND,Male,MAL,Estonia,EST,0,0,0,0,35
India,IND,Male,MAL,Ethiopia,ETH,763,709,719,731,773
India,IND,Male,MAL,Faeroe Islands,FRO,4,5,6,7,12
India,IND,Male,MAL,Falkland Islands (Malvinas),FLK,0,0,0,0,2
India,IND,Male,MAL,Fiji,FJI,7644,4849,2583,1863,2185
India,IND,Male,MAL,Finland,FIN,10,44,90,174,712
India,IND,Male,MAL,France,FRA,42177,4155,8507,12617,67229
India,IND,Male,MAL,French Guiana,GUF,7,0,0,1,2
India,IND,Male,MAL,French Polynesia,PYF,2,3,6,15,14
India,IND,Male,MAL,Gabon,GAB,157,69,82,120,182
India,IND,Male,MAL,"Gambia, The",GMB,24,35,253,341,464
India,IND,Male,MAL,Georgia,GEO,0,0,0,0,0
India,IND,Male,MAL,Germany,DEU,2863,4726,22516,15643,24822
India,IND,Male,MAL,Ghana,GHA,582,1305,318,1106,1894
India,IND,Male,MAL,Gibraltar,GIB,22,3,28,2,17
India,IND,Male,MAL,Greece,GRC,16,47,243,3897,6457
India,IND,Male,MAL,Greenland,GRL,1,3,4,4,4
India,IND,Male,MAL,Grenada,GRD,4,2,0,5,9
India,IND,Male,MAL,Guadeloupe,GLP,14,15,39,88,73
India,IND,Male,MAL,Guam,GUM,13,147,6,61,101
India,IND,Male,MAL,Guatemala,GTM,2,2,3,2,8
India,IND,Male,MAL,Guinea,GIN,43,63,94,37,52
India,IND,Male,MAL,Guinea-Bissau,GNB,2,2,2,5,5
India,IND,Male,MAL,Guyana,GUY,3,164,196,50,0
India,IND,Male,MAL,Haiti,HTI,9,6,8,11,16
India,IND,Male,MAL,Honduras,HND,39,16,20,44,7
India,IND,Male,MAL,"Hong Kong SAR, China",HKG,42,3831,866,1060,13465
India,IND,Male,MAL,Hungary,HUN,335,295,248,207,191
India,IND,Male,MAL,Iceland,ISL,1,0,18,43,65
India,IND,Male,MAL,India,IND,0,0,0,0,0
India,IND,Male,MAL,Indonesia,IDN,40556,25111,13032,4174,3695
India,IND,Male,MAL,"Iran, Islamic Rep.",IRN,71,132,521,1287,1122
India,IND,Male,MAL,Iraq,IRQ,811,557,385,318,38
India,IND,Male,MAL,Ireland,IRL,648,808,1527,1742,2086
India,IND,Male,MAL,Isle of Man,IMN,..,..,..,..,..
India,IND,Male,MAL,Israel,ISR,7623,8835,10255,8479,8171
India,IND,Male,MAL,Italy,ITA,316,560,721,3278,23299
India,IND,Male,MAL,Jamaica,JAM,493,306,419,369,671
India,IND,Male,MAL,Japan,JPN,27,440,873,2110,5179
India,IND,Male,MAL,Jordan,JOR,17,27,93,332,2886
India,IND,Male,MAL,Kazakhstan,KAZ,0,0,0,0,0
India,IND,Male,MAL,Kenya,KEN,693,7952,6200,4249,302
India,IND,Male,MAL,Kiribati,KIR,1,0,3,0,8
India,IND,Male,MAL,"Korea, Dem. Rep.",PRK,0,51,20,31,154
India,IND,Male,MAL,"Korea, Rep.",KOR,0,10,1,2,1144
India,IND,Male,MAL,Kosovo,XKX,..,..,..,..,..
India,IND,Male,MAL,Kuwait,KWT,2768,13657,33146,85099,84709
India,IND,Male,MAL,Kyrgyz Republic,KGZ,0,0,0,0,181
India,IND,Male,MAL,Lao PDR,LAO,20,21,22,23,22
India,IND,Male,MAL,Latvia,LVA,0,0,0,0,41
India,IND,Male,MAL,Lebanon,LBN,77,170,634,15275,24217
India,IND,Male,MAL,Lesotho,LSO,25,22,20,213,74
India,IND,Male,MAL,Liberia,LBR,105,341,716,670,637
India,IND,Male,MAL,Libya,LBY,5,25,72,105,126
India,IND,Male,MAL,Liechtenstein,LIE,0,0,0,0,6
India,IND,Male,MAL,Lithuania,LTU,0,0,0,0,8
India,IND,Male,MAL,Luxembourg,LUX,18,28,94,560,174
India,IND,Male,MAL,"Macao SAR, China",MAC,162,62,215,198,217
India,IND,Male,MAL,"Macedonia, FYR",MKD,11,10,18,480,558
India,IND,Male,MAL,Madagascar,MDG,9071,5428,2104,3053,2760
India,IND,Male,MAL,Malawi,MWI,2150,2109,69,68,67
India,IND,Male,MAL,Malaysia,MYS,8233,100280,61287,19328,37942
India,IND,Male,MAL,Maldives,MDV,433,497,99,49,94
India,IND,Male,MAL,Mali,MLI,30,30,29,29,2
India,IND,Male,MAL,Malta,MLT,1,0,2,4,12
India,IND,Male,MAL,Marshall Islands,MHL,2,3,4,4,4
India,IND,Male,MAL,Martinique,MTQ,13,5,11,20,22
India,IND,Male,MAL,Mauritania,MRT,0,0,0,7,8
India,IND,Male,MAL,Mauritius,MUS,492,464,673,611,6704
India,IND,Male,MAL,Mayotte,MYT,2,4,7,19,36
India,IND,Male,MAL,Mexico,MEX,189,205,61,82,233
India,IND,Male,MAL,"Micronesia, Fed. Sts.",FSM,2,2,6,10,10
India,IND,Male,MAL,Moldova,MDA,0,0,0,0,0
India,IND,Male,MAL,Monaco,MCO,19,12,128,165,201
India,IND,Male,MAL,Mongolia,MNG,10,12,15,18,21
India,IND,Male,MAL,Montenegro,MNE,..,..,..,..,..
India,IND,Male,MAL,Montserrat,MSR,0,0,0,14,1
India,IND,Male,MAL,Morocco,MAR,8,3,2,1,1
India,IND,Male,MAL,Mozambique,MOZ,1590,285,303,1154,3326
India,IND,Male,MAL,Myanmar,MMR,58361,55111,36551,23485,18260
India,IND,Male,MAL,Namibia,NAM,55,84,127,191,181
India,IND,Male,MAL,Naura,NRU,0,39,54,45,18
India,IND,Male,MAL,Nepal,NPL,116216,115083,68631,114476,163962
India,IND,Male,MAL,Netherlands,NLD,10,727,1826,4568,5658
India,IND,Male,MAL,Netherlands Antilles,ANT,122,103,85,253,22
India,IND,Male,MAL,New Caledonia,NCL,49,48,44,32,26
India,IND,Male,MAL,New Zealand,NZL,2558,3020,3250,3656,10618
India,IND,Male,MAL,Nicaragua,NIC,3,6,6,7,8
India,IND,Male,MAL,Niger,NER,173,228,301,234,86
India,IND,Male,MAL,Nigeria,NGA,895,746,4000,1053,1714
India,IND,Male,MAL,Niue,NIU,0,0,0,0,0
India,IND,Male,MAL,Norfolk Island,NFK,0,0,0,0,0
India,IND,Male,MAL,Northern Mariana Islands,MNP,0,0,1,48,81
India,IND,Male,MAL,Norway,NOR,83,200,1053,2514,2504
India,IND,Male,MAL,Oman,OMN,18438,26547,61779,179318,264336
India,IND,Male,MAL,Pakistan,PAK,3370824,2563017,2096894,1710275,1373935
India,IND,Male,MAL,Palau,PLW,0,0,1,31,37
India,IND,Male,MAL,Panama,PAN,527,352,553,856,1273
India,IND,Male,MAL,Papua New Guinea,PNG,114,283,231,181,149
India,IND,Male,MAL,Paraguay,PRY,0,0,10,13,83
India,IND,Male,MAL,Peru,PER,20,29,37,116,92
India,IND,Male,MAL,Philippines,PHL,1726,1706,1079,2397,5968
India,IND,Male,MAL,Poland,POL,4,3,62,123,227
India,IND,Male,MAL,Portugal,PRT,257,721,2001,2938,3239
India,IND,Male,MAL,Puerto Rico,PRI,10,29,41,438,368
India,IND,Male,MAL,Qatar,QAT,97,1291,13038,30420,46171
India,IND,Male,MAL,Reunion,REU,544,44,108,138,191
India,IND,Male,MAL,Romania,ROU,0,0,0,0,0
India,IND,Male,MAL,Russian Federation,RUS,0,0,0,0,22
India,IND,Male,MAL,Rwanda,RWA,2,301,382,241,1267
India,IND,Male,MAL,Saint Helena,SHN,0,1,4,2,2
India,IND,Male,MAL,Saint Pierre and Miquelon,SPM,0,0,0,0,0
India,IND,Male,MAL,Samoa,WSM,0,2,3,2,4
India,IND,Male,MAL,San Marino,SMR,0,0,0,0,0
India,IND,Male,MAL,Sao Tome and Principe,STP,1,1,1,3,3
India,IND,Male,MAL,Saudi Arabia,SAU,9585,55464,289689,770932,805699
India,IND,Male,MAL,Senegal,SEN,95,62,64,103,95
India,IND,Male,MAL,Serbia,SRB,..,..,..,..,..
India,IND,Male,MAL,Serbia and Montenegro,SCG,59,58,101,39,136
India,IND,Male,MAL,Seychelles,SYC,4,214,406,331,1067
India,IND,Male,MAL,Sierra Leone,SLE,127,203,242,229,58
India,IND,Male,MAL,Singapore,SGP,56217,39894,31589,28815,57245
India,IND,Male,MAL,Slovak Republic,SVK,0,1,1,4,11
India,IND,Male,MAL,Slovenia,SVN,0,0,0,0,3
India,IND,Male,MAL,Solomon Islands,SLB,0,1,0,47,8
India,IND,Male,MAL,Somalia,SOM,41,324,435,101,139
India,IND,Male,MAL,South Africa,ZAF,14405,11525,8189,4116,9308
India,IND,Male,MAL,Spain,ESP,0,0,0,2075,4132
India,IND,Male,MAL,Sri Lanka,LKA,533573,559671,323461,224223,192982
India,IND,Male,MAL,St. Kitts and Nevis,KNA,1,0,0,6,28
India,IND,Male,MAL,St. Lucia,LCA,3,2,0,8,41
India,IND,Male,MAL,St. Vincent and the Grenadines,VCT,2,2,1,4,6
India,IND,Male,MAL,Sudan,SDN,1100,1007,1303,2258,2735
India,IND,Male,MAL,Suriname,SUR,299,164,80,62,2
India,IND,Male,MAL,Swaziland,SWZ,68,131,22,119,160
India,IND,Male,MAL,Sweden,SWE,196,483,2593,3362,4392
India,IND,Male,MAL,Switzerland,CHE,233,332,176,869,3494
India,IND,Male,MAL,Syrian Arab Republic,SYR,433,4006,3068,4329,5679
India,IND,Male,MAL,"Taiwan, China",TWN,0,0,0,18,56
India,IND,Male,MAL,Tajikistan,TJK,0,0,0,0,0
India,IND,Male,MAL,Tanzania,TZA,13763,12500,2346,2148,4262
India,IND,Male,MAL,Thailand,THA,1980,593,1399,2350,7607
India,IND,Male,MAL,Timor-Leste,TLS,42,48,44,50,51
India,IND,Male,MAL,Togo,TGO,256,366,389,409,425
India,IND,Male,MAL,Tokelau,TKL,0,0,0,0,0
India,IND,Male,MAL,Tonga,TON,1,3,30,63,37
India,IND,Male,MAL,Trinidad and Tobago,TTO,84,239,500,388,351
India,IND,Male,MAL,Tunisia,TUN,11,18,7,14,13
India,IND,Male,MAL,Turkey,TUR,180,303,356,629,349
India,IND,Male,MAL,Turkmenistan,TKM,0,0,0,0,0
India,IND,Male,MAL,Turks and Caicos Islands,TCA,0,0,0,3,3
India,IND,Male,MAL,Tuvalu,TUV,1,0,0,0,0
India,IND,Male,MAL,Uganda,UGA,11249,11697,5934,821,3378
India,IND,Male,MAL,Ukraine,UKR,0,0,0,0,6
India,IND,Male,MAL,United Arab Emirates,ARE,601,17393,172542,279458,520770
India,IND,Male,MAL,United Kingdom,GBR,102395,181736,203856,208891,258152
India,IND,Male,MAL,United States,USA,8760,35975,124998,270753,561244
India,IND,Male,MAL,Uruguay,URY,5,0,5,5,0
India,IND,Male,MAL,Uzbekistan,UZB,0,0,0,0,0
India,IND,Male,MAL,Vanuatu,VUT,45,51,25,17,4
India,IND,Male,MAL,"Venezuela, RB",VEN,97,9,228,224,118
India,IND,Male,MAL,Vietnam,VNM,349,307,376,230,1519
India,IND,Male,MAL,Virgin Islands (U.S.),VIR,0,68,9,195,181
India,IND,Male,MAL,"Virgin Islands, British",VGB,0,3,3,9,10
India,IND,Male,MAL,Wallis and Futuna,WLF,0,0,0,0,2
India,IND,Male,MAL,West Bank and Gaza,PSE,74,89,105,138,213
India,IND,Male,MAL,"Yemen, Rep.",YEM,3171,3926,4860,6017,7034
India,IND,Male,MAL,Zambia,ZMB,4697,3746,3599,2695,2414
India,IND,Male,MAL,Zimbabwe,ZWE,1496,1405,1325,1250,1149